编号,Hex色码,R,G,B,RGB格式
G6,#E99C17,233,156,23,"rgb(233,156,23)"
G7,#9D5B3E,157,91,62,"rgb(157,91,62)"
G8,#753B32,117,59,50,"rgb(117,59,50)"
G9,#E6B483,230,180,131,"rgb(230,180,131)"
G10,#D98C39,217,140,57,"rgb(217,140,57)"
G11,#E0C593,224,197,147,"rgb(224,197,147)"
G12,#FFC890,255,200,144,"rgb(255,200,144)"
G13,#B7714A,183,113,74,"rgb(183,113,74)"
G14,#8D614C,141,97,76,"rgb(141,97,76)"
G15,#FCF9E0,252,249,224,"rgb(252,249,224)"
G16,#F2D9BA,242,217,186,"rgb(242,217,186)"
G17,#7B524B,123,82,75,"rgb(123,82,75)"
G18,#FFE4CC,255,228,204,"rgb(255,228,204)"
G19,#E07935,224,121,53,"rgb(224,121,53)"
G20,#A94023,169,64,35,"rgb(169,64,35)"
G21,#B88558,184,133,88,"rgb(184,133,88)"
H1,#FDFBFF,253,251,255,"rgb(253,251,255)"
H2,#FFFFFF,255,255,255,"rgb(255,255,255)"
H3,#B6B1BA,182,177,186,"rgb(182,177,186)"
H4,#89858C,137,133,140,"rgb(137,133,140)"
H5,#48464E,72,70,78,"rgb(72,70,78)"
H6,#2F2B2F,47,43,47,"rgb(47,43,47)"
H7,#000000,0,0,0,"rgb(0,0,0)"
H8,#E7D6DB,231,214,219,"rgb(231,214,219)"
H9,#EDEDED,237,237,237,"rgb(237,237,237)"
H10,#EEE9EA,238,233,234,"rgb(238,233,234)"
H11,#CECDD5,206,205,213,"rgb(206,205,213)"
H12,#FFF5ED,255,245,237,"rgb(255,245,237)"
H13,#F5ECD2,245,236,210,"rgb(245,236,210)"
H14,#CFD7D3,207,215,211,"rgb(207,215,211)"
H15,#98A6A8,152,166,168,"rgb(152,166,168)"
H16,#1D1414,29,20,20,"rgb(29,20,20)"
H17,#F1EDED,241,237,237,"rgb(241,237,237)"
H18,#FFFDF0,255,253,240,"rgb(255,253,240)"
H19,#F6EFE2,246,239,226,"rgb(246,239,226)"
H20,#949FA3,148,159,163,"rgb(148,159,163)"
H21,#FFFBE1,255,251,225,"rgb(255,251,225)"
H22,#CACAD4,202,202,212,"rgb(202,202,212)"
H23,#9A9D94,154,157,148,"rgb(154,157,148)"
M1,#BCC6B8,188,198,184,"rgb(188,198,184)"
M2,#8AA386,138,163,134,"rgb(138,163,134)"
M3,#697D80,105,125,128,"rgb(105,125,128)"
M4,#E3D2BC,227,210,188,"rgb(227,210,188)"
M5,#D0CCAA,208,204,170,"rgb(208,204,170)"
M6,#B0A782,176,167,130,"rgb(176,167,130)"
M7,#B4A497,180,164,151,"rgb(180,164,151)"
M8,#B38281,179,130,129,"rgb(179,130,129)"
M9,#A58767,165,135,103,"rgb(165,135,103)"
M10,#C5B2BC,197,178,188,"rgb(197,178,188)"
M11,#9F7594,159,117,148,"rgb(159,117,148)"
M12,#644749,100,71,73,"rgb(100,71,73)"
M13,#D19066,209,144,102,"rgb(209,144,102)"
M14,#C77362,199,115,98,"rgb(199,115,98)"
M15,#757D7B,117,125,123,"rgb(117,125,123)"
